kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets
lionsbet;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;2.44;3;4.83;4;6.99;6;6.99;6;6.99;6;6.99;6;6.99;6;6.99;6;12.38;8;11.53;10;11.53;10;11.53;10;5.26;11;5.26;12;8.71;15;8.71;15;15.94;17;15.94;17
Sheptoon;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;-3.01;4;2.49;7;8.81;11;13.83;14;15.49;17;11.37;22;16.23;27
arturhisa;0;1;0;1;0;1;0;1;0;1;6.8;2;6.8;2;6.8;2;6.8;2;6.8;2;6.8;2;10.68;3;10.68;3;10.68;3;13.32;8;13.32;8;13.32;8;15.87;9;15.87;9;19.86;12;19.86;12;19.86;12;19.86;12;19.86;12;19.86;12;16.25;14;16.25;14;16.25;14;16.25;14;16.25;14
Denza_Faradenza;0;1;0;1;0;1;2.76;4;2.76;4;2.76;4;2.76;4;2.76;4;2.76;4;2.76;4;2.76;4;2.76;4;2.76;4;2.76;4;2.76;4;2.76;4;2.76;4;2.76;4;2.76;4;2.76;4;2.76;4;2.76;4;2.76;4;2.76;4;7.79;6;7.27;11;10.45;13;14.41;15;14.41;16;10.98;17
AquaToRia;8.09;1;0;3;0.85;5;4.17;13;10.53;18;14.04;27;17;31;12.62;35;9.9;37;9.9;37;8.25;39;15.3;43;16.23;47;15.7;50;19.24;53;10.31;59;7.02;60;9.85;62;10.51;63;10.51;63;10.51;64;10.51;64;10.51;64;10.51;64;17.4;66;16.55;69;8.11;71;4.18;72;4.18;72;4.18;72
kuch;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;3.78;4;3.78;5;3.78;6;0.83;7;11.13;9;11.13;10;7.94;12;4.71;13;7.64;15;7.64;15
1way;0;1;20.54;5;20.54;5;20.54;6;14.51;7;14.51;8;8.79;9;8.79;9;8.79;9;8.79;9;8.79;9;8.79;9;8.79;9;13.52;10;7.85;11;7.85;11;7.85;11;7.85;11;7.85;11;2.46;12;2.46;12;2.46;12;2.46;12;2.46;12;2.46;12;2.46;12;2.46;12;2.46;12;2.46;12;2.46;12
jm107ss;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1.64;2;-0.75;4;-0.75;4;0.84;5;3.16;6;3.16;6;3.16;8;3.19;9;3.19;9;0.04;10;4.32;11;4.32;11;5.88;13;5.88;13;5.88;13;5.88;13;5.88;13;5.88;13;2.9;15;7.71;17;7.71;17
%f5%f0%e8%f1%f2%ee%f4%ee%f0+%e4%e8%eb%fc%e3%ff%f0%ee%e2;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;2;0;2;-5.38;4;-5.38;4;-5.38;4;-4.95;6;-3.74;7;-3.74;7;-3.74;7;-3.74;7;-0.58;8;2.83;9;-2.28;10;1.32;11;1.32;11;1.32;11;1.32;11;1.32;11
superions;-5.9;2;-8.73;3;-9.27;7;-7.5;8;-3.6;14;-7.01;16;-12.51;17;-12.25;21;-5.13;27;-1.95;37;-0.36;38;3.64;41;6.25;42;8.31;46;-4.6;49;4.98;54;4.19;56;9.79;57;9.79;57;7.59;62;3.79;64;3.3;69;5.72;71;10.42;74;12.42;77;17.5;80;13.63;85;12.98;88;17.75;90;0;94
