kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets
ilia911;0.00;3;0.00;4;+9.02;5;+9.02;5;+9.02;5;+9.02;5;+9.02;7;-6.49;11;-6.49;11;-6.49;11;-6.49;11;-6.49;11;-6.49;11;-5.07;12;+6.23;15;+20.00;16;+25.09;17;+29.15;20;+29.15;20;+24.90;24;+13.60;27;+13.60;27;+13.60;27;+13.60;27;+13.60;27;+13.60;27;+13.60;27;+13.60;27;+13.60;27;+13.60;27
goal monster;0.00;4;0.00;4;0.00;4;0.00;4;+1.31;5;+1.31;5;+1.31;5;+1.31;7;+1.31;7;+1.31;7;+1.31;7;+1.50;9;+1.74;11;+1.74;11;+1.74;11;+1.74;11;+1.74;11;-0.76;12;-0.76;12;+7.53;15;+7.64;17;+7.64;17;+7.64;17;+7.64;17;+7.64;17;+7.64;17;+7.64;17;+7.64;17;+7.64;17;+7.64;17
%cd%e5+%d8%e0%f0%fe;0.00;1;+3.59;2;+3.59;3;+3.59;3;+3.59;3;+0.13;4;+0.13;4;+2.55;5;+2.55;5;+2.55;5;+2.55;6;+2.55;6;+3.62;7;+3.62;7;+0.16;8;-3.30;9;-3.30;9;-3.30;9;-3.30;9;-0.43;10;-0.43;10;-0.43;10;-0.43;10;-0.43;10;-0.43;10;-0.43;10;-0.43;10;-0.43;10;-0.43;10;-0.43;10
CocoJambo2020;0.00;1;+1.64;2;+3.67;3;+6.82;5;+9.35;6;+12.11;7;+15.25;8;+17.23;9;+12.54;10;+11.57;13;+7.33;14;+10.51;15;+16.12;16;+14.43;18;+14.43;19;+10.99;20;+6.56;23;-1.31;24;-2.38;26;-0.16;28;+1.73;30;+1.73;30;+1.73;30;+1.73;30;+1.73;30;+1.73;30;+1.73;30;+1.73;30;+1.73;30;+1.73;30
chelios85;0.00;1;0.00;1;0.00;1;+1.34;3;+1.08;6;+2.91;10;+5.11;16;+10.77;18;+10.77;18;+6.96;21;+5.84;25;+7.90;31;+5.98;35;+7.48;36;+5.90;37;+5.27;38;+6.11;42;+6.11;42;+8.38;44;+8.38;44;+7.86;48;+6.25;49;+6.25;49;+5.88;52;+5.88;52;+5.88;52;+5.88;52;+5.88;52;+5.88;52;+5.88;52
%cf%eb%fe%f1%ee%e2%ee%e9+%f4%f3%f2%e1%ee%eb;0.00;1;0.00;1;-4.00;2;-4.00;2;-4.00;2;-4.00;2;-4.00;2;-4.00;2;-8.00;5;-5.52;6;-5.52;6;-5.52;6;-5.52;6;-2.60;7;-2.60;7;-0.48;8;+2.24;10;+1.44;11;+1.44;11;+1.44;11;+1.44;11;+1.44;11;+1.44;11;+1.44;11;+1.44;11;+1.44;11;+1.44;11;+1.44;11;+1.44;11;+1.44;11
Winner2021;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;+4.19;2;-1.01;4;+8.61;7;+7.89;9;+6.85;10;+1.51;11;+1.51;11;+1.51;11;+1.51;11;+1.51;11;-3.56;13;-3.56;13;-3.56;13;-3.56;13;-3.56;13;-3.56;13;-3.56;13;-3.56;13
korezah;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;+0.06;4;+1.30;8;+2.22;10;+1.69;13;-1.37;14;-1.37;14;-1.37;14;-1.37;14;-1.37;14;-1.37;14;-1.37;14;-1.37;14
razmino4ka;+8.61;6;+8.61;6;-3.08;11;+1.65;19;-5.90;24;-4.39;27;+0.95;32;+3.32;35;+2.52;37;+1.52;39;+1.52;41;+8.04;44;+8.90;50;+4.38;57;+0.22;62;-7.97;69;-2.48;73;-13.85;76;-13.85;76;-11.59;78;-11.91;80;-12.31;81;-9.38;85;-4.75;89;-4.75;89;-4.75;89;-4.75;89;-4.75;89;-4.75;89;-4.75;89
Karelia10;0.00;2;-0.21;3;-0.47;6;-0.75;7;+1.56;9;+1.56;9;+3.75;11;+3.75;14;+6.40;15;+7.37;18;+7.37;18;+7.86;20;+7.56;22;+8.45;23;+10.79;26;+7.14;28;+7.14;28;+4.55;31;+4.55;31;+4.55;32;+7.66;33;+9.86;35;+9.86;35;+9.86;36;+9.86;36;+9.86;36;+9.86;36;+9.86;36;+9.86;36;+9.86;36
RunnerUp;0.00;2;-4.99;3;-2.62;5;-2.62;5;-2.62;5;-2.62;5;+2.61;6;+5.17;7;+5.17;7;+7.19;9;+5.04;11;+5.04;11;+10.14;12;+10.14;12;+4.64;14;-5.56;16;-3.29;17;-3.29;17;-3.29;17;-3.29;17;-3.29;17;+0.72;19;+0.72;19;+4.45;21;+4.45;21;+4.45;21;+4.45;21;+4.45;21;+4.45;21;+4.45;21
kimgrudevrb;0.00;2;0.00;2;+3.44;4;+6.00;8;+3.11;10;+2.65;13;-0.25;14;+1.20;16;-1.64;18;-0.69;19;+2.86;21;+9.51;25;+11.13;26;+7.66;27;+10.34;29;+7.45;31;+3.93;33;+0.80;35;+0.02;37;+0.02;37;+0.02;37;+1.61;38;+1.61;38;+4.86;41;+4.86;41;+4.86;41;+4.86;41;+4.86;41;+4.86;41;+4.86;41
abach;0.00;2;0.00;2;-5.91;3;-5.91;3;-4.93;4;-4.93;4;-0.80;7;+13.02;10;+16.48;13;+13.13;15;+16.62;16;+21.73;21;+14.34;23;+11.77;24;+11.77;24;+4.34;25;+4.34;25;+4.34;25;+7.67;26;+7.67;26;+7.67;26;+4.45;27;+4.97;29;+4.97;29;+4.97;29;+4.97;29;+4.97;29;+4.97;29;+4.97;29;+4.97;29
