kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets
Gleb_Chorniy;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;3.51;7;4.41;9;3.65;11;3.65;11;3.65;11
igor.stadnik;0;1;0;1;7.3;2;7.3;2;7.3;2;7.3;2;1.95;3;1.95;3;4.65;4;4.65;4;4.65;4;4.65;4;4.65;4;4.65;4;6.26;5;6.26;5;3.72;8;5.91;12;-6.56;16;13.67;17;13.67;17;16.22;18;10.42;19;10.42;19;10.42;19;10.42;19;10.42;19;10.42;19;10.42;19;10.42;19
Kazzzz;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;6.75;8;5.56;11;0.3;13;7.72;16;30.68;20;30.68;20;30.68;20;30.68;20;30.68;20;30.68;20;37.52;22;42.34;25;34.4;28;39.65;30;26.08;32;13.83;34;13.83;34;13.83;34;13.83;34
%ce%f1%f2%f0%e0%ff_%e0%ed%e0%eb%e8%f2%e8%ea%e0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;3.47;2;5.74;4;5.74;4;10.21;6;10.21;6;10.21;7;4.71;8;9.73;9;9.73;9;18.72;11;18.72;11;18.72;11;18.72;11;9.84;12;9.84;12;9.84;12;9.84;12;9.84;12;9.84;12;9.84;12;9.84;12
Bebeshka;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;-3;2;-3;2;-3;2;-6.88;7;-6.88;7;4.22;17;4.22;17;4.22;17;4.22;17;4.22;17;4.22;17;4.22;17;4.22;17;4.22;17;4.22;17;4.22;17;4.22;17;4.22;17
andreas.haas;0;3;2.35;7;1.8;9;3.74;12;9.89;17;9.89;17;9.89;17;9.89;17;14.18;18;14.18;18;14.18;18;14.18;18;8.5;19;9.58;20;5.18;21;6.49;22;7.82;23;7.82;23;7.82;25;7.82;25;11.88;26;7.99;27;7.99;27;8.7;29;2.97;31;4.75;33;2.25;34;2.25;34;5.06;37;5.06;37
NE FAKT;0.03;3;-3.21;5;-3.21;5;-3.21;5;-9.7;8;-21.75;11;-21.75;11;-10.67;15;-13.38;17;-9.63;20;-7.49;22;-7.49;22;-1.87;26;-5.48;31;-5.48;31;-4.17;35;1.38;38;-2.85;44;-6.66;49;-6.47;50;-8.52;53;-8.52;53;-4.08;57;-9.01;59;0.42;65;-5.25;67;-11.8;69;-11.8;69;-3.22;71;-3.22;71
aratymosha;0;1;0;1;0;1;0.31;3;0.31;3;-0.19;5;0.72;6;0.41;8;0.41;8;0.41;8;0.41;8;1.01;10;1.01;10;1.65;12;2.16;13;2.4;14;2.83;16;2.83;16;3.22;18;2.72;19;2.22;21;2.89;22;2.89;22;3.78;23;2.74;24;2.74;25;2.74;25;2.74;25;3.96;26;3.96;26
Muguruza;-4.36;1;-4.36;1;-4.36;1;-4.36;1;-4.36;2;4.42;3;4.42;3;4.42;3;4.42;3;4.42;3;4.42;3;0.24;5;0.24;5;-4.12;6;-13.46;7;-13.46;7;-13.46;7;-17.77;9;-17.77;9;-7.31;10;-7.31;11;-4.34;12;-4.34;12;-4.34;12;-4.34;12;-4.34;12;-4.34;12;-4.34;12;-4.34;12;-4.34;12
%ca%ee%f1%ec%e8%f7%e5%f1%ea%e8%e9+%eb%e8%f1;0;1;1.05;3;2.47;4;4;6;6.98;9;4.83;11;4.83;11;1.58;12;2.49;14;4.97;15;6.11;18;8.29;19;10.33;22;2.53;24;4.44;25;5.22;26;-0.04;27;-0.04;27;1.64;28;1.64;28;1.64;28;1.64;28;1.64;28;1.64;28;1.64;28;1.64;28;1.64;28;1.64;28;1.64;28;1.64;28
