url,zone,days,total invested,deposits number,TopListPrc,monitors number,design,text,licence,forums,reviews,listings,firstLap,plans
bitzee.biz,biz,62,36284,773,22.22,18,2,0,1,11,5,2,1,3.6
maxsavings.biz,biz,62,1740,41,100,8,550,1,1,10,1,0,1,2.1
brutalcoin.com,com,62,10,1,100,8,16,19,1,11,1,0,1,0.6
hourbrokers.biz,biz,62,4689,430,100,14,3,15,1,6,0,0,1,36
zeissbank.com,com,62,3607,68,93.75,16,2,0,1,11,6,0,1,3.75
valexcoin.com,com,62,5794,101,100,6,750,305,1,8,0,0,1,2.1
bitbonum.biz,biz,62,9527,661,100,14,11,7,1,9,0,0,1,84
go-profit.club,club,62,63,8,100,4,3,1,1,6,0,0,1,25.44
rediumtrade.com,com,62,62697,851,92.86,14,1,0,1,14,6,0,1,7
hourhere.biz,biz,62,4162,289,100,6,9,1,1,0,0,0,1,74.4
trustbillion.com,com,62,666,34,87.5,8,0,0,0,5,0,0,1,5.04
zureabit.com,com,62,30903,439,87.5,8,0,0,0,5,0,0,1,7
buoyantcoin.com,com,62,50,1,100,3,0,1,1,11,0,0,0,0.7
loanbit.net,net,62,198458,422,100,2,0,0,0,0,0,0,1,2
activecoinltd.com,com,62,57,8,100,1,0,0,0,0,0,0,1,17
invplaza.com,com,62,4323,126,100,6,0,0,0,3,0,0,1,22
perfectbet.biz,biz,62,100,1,100,2,0,0,0,5,0,0,1,33
eco-pay.biz,biz,62,400,11,100,3,0,0,0,0,0,0,1,1
uniworc.com,com,61,4592,35,0,5,0,0,1,10,3,19,0,0.5
dogesca.club,club,61,791,3,0,1,0,10,0,3,0,0,1,4.16
poker-bot.cc,cc,61,285,13,20,5,7,0,1,16,1,228,1,50.88
reservecapital.biz,biz,61,1390,25,20,10,756,567,1,12,1,84,1,1
minercoin.biz,biz,61,52023,643,58.33,12,749,428,1,14,1,73,1,1.5
coinsmex.biz,biz,61,5011,406,100,11,34,13,1,8,1,0,1,7.2
finorion.biz,biz,61,160842,3220,77.27,44,6,0,1,20,11,0,1,4
empowerforex.biz,biz,61,22448,488,80.49,41,0,0,0,19,13,0,1,2.1
magnyze.com,com,61,6548,57,70,10,749,226,1,13,4,0,1,2.2
speedyinv.com,com,61,10928,244,90,10,0,0,1,10,0,0,1,20
infinithour.com,com,61,101951,3759,75,16,1,39,1,8,1,0,1,25.92
takicoin.com,com,61,2093,53,72.22,18,7,18,1,18,1,0,1,4
hour90.com,com,61,6762,265,88.89,9,25,8,1,12,0,0,1,28.8
workingoutsoft.com,com,61,1826,38,83.33,6,0,0,1,8,2,0,1,25
ethmine.biz,biz,61,572,3,100,3,4,0,0,2,2,0,1,62.4
fin-insider.org,org,61,17528,337,100,3,758,0,0,0,0,0,1,2.2
coinprogress.com,com,61,11147,177,75,8,0,0,0,6,0,0,1,11
pokemons-go.org,org,61,944,16,100,1,0,0,0,0,0,0,1,4
crypto-forex-bank.com,com,61,120,10,80,5,0,0,0,4,0,0,1,1.2
axiscrude.com,com,61,2604,134,88.89,9,0,0,0,7,0,0,1,3
invest-vip.com,com,61,5177,56,80,20,0,0,0,12,0,0,1,300
btcmint.net,net,60,4032,244,7.69,26,2,4,1,14,1,326,1,25.92
braind.club,club,60,9081,447,21.43,14,3,0,0,4,3,561,1,3
hourdream.com,com,60,4244,375,100,11,19,13,1,6,0,0,1,84.48
warminverter.biz,biz,60,3199,37,100,3,746,336,1,10,0,0,1,1.2
trancescan.com,com,60,16351,260,100,5,749,278,1,11,0,0,1,12
edg.asia,asia,60,3550,90,100,3,749,175,1,9,0,0,1,3
realcryptotrade.com,com,60,3525,41,81.48,27,6,0,1,13,0,0,0,2.2
sevenstars.group,group,60,2566,57,100,7,0,0,1,8,1,0,1,0.93
dailydp.com,com,60,14443,247,100,3,757,0,1,13,0,0,1,2.1
bluegold.pro,pro,60,290,24,100,6,28,0,1,6,1,0,1,8
bip-africa.network,network,60,3513,68,100,3,0,0,1,7,1,0,1,7
hourlyparty.com,com,60,5333,486,100,7,0,0,0,10,0,0,1,4.11
damb.biz,biz,60,127,5,100,2,0,0,0,0,0,0,1,6
ambis.biz,biz,60,11917,66,100,3,0,0,0,0,0,0,1,3.6
rentex.ltd,ltd,60,26837,158,100,4,0,0,0,4,0,0,0,3.2
bitalpha.biz,biz,59,88800,1231,77.42,31,11,0,0,14,6,0,1,4
atlantos.biz,biz,59,2140,29,80,5,748,465,1,2,0,0,1,5
stariobit.com,com,59,4315,66,100,4,746,0,1,11,2,0,1,1.4
coingenic.io,io,59,22005,397,100,5,0,0,1,7,1,0,1,2
bitcofinance.com,com,59,1416,78,71.43,14,0,0,1,10,1,0,1,6
biohourly.biz,biz,59,7534,397,92.31,13,11,1,1,7,1,0,1,3
growthbridge.cc,cc,59,17911,321,90.91,11,3,0,1,9,0,0,1,8
advancedbit.net,net,59,11272,83,80,10,0,0,1,15,5,0,0,60
paidroi.com,com,59,2194,156,100,9,1,0,1,9,0,0,1,4.4
publicprime.biz,biz,59,23882,289,78.72,47,0,0,1,10,7,0,1,35
perfect-one.co,co,59,151931,5931,81.82,11,1,0,1,19,2,0,1,30
superfinefund.com,com,59,2411,68,83.33,6,4,0,1,5,0,0,1,5
amaris-group.org,org,59,125,3,100,4,1,0,0,0,0,0,1,5.5
exchangeprofit.biz,biz,58,360393,2217,6.67,15,0,0,1,27,4,516,1,1
menolix.com,com,58,4370,86,40,5,646,0,1,4,0,74,1,1
commexx.com,com,58,5055,70,36.84,19,1,0,1,11,8,1,1,1.15
re-pay.me,me,58,155,3,100,2,6,0,1,8,0,0,1,5
realmining.club,club,58,4987,103,100,8,0,0,1,9,2,0,1,2.2
empirefinancegroup.com,com,58,116906,972,100,7,701,1,1,0,0,0,1,2
varionfund.com,com,58,506238,3395,90,10,750,38,1,2,2,0,1,1.5
increaseym.com,com,58,1875,35,100,7,749,222,1,19,0,0,1,2.1
rentalo.us,us,58,20474,47,90,10,0,0,1,0,8,0,0,0.6
ethanallenus.us,us,58,17818,196,71.43,7,733,25,1,8,1,0,1,6
hashbit.io,io,58,10,1,75,4,21,1,1,2,2,0,1,6
m-mak.biz,biz,58,1472,40,100,1,0,0,0,0,0,0,1,2.5
chainhour.com,com,58,5493,435,100,5,0,0,0,2,0,0,1,4.8
joidesharm.com,com,58,22301,687,100,2,0,0,0,11,0,0,1,1.2
aragon.company,company,58,1245,48,100,4,0,0,0,0,0,0,1,3.2
silvermagnet.uk,uk,58,673,28,40,5,0,0,0,8,0,0,1,4.5
avanciroinv.com,com,58,1816,97,100,2,0,0,0,4,0,0,1,1.6
safeboxbit.biz,biz,58,10,1,100,1,0,0,0,4,0,0,1,9.84
bittraders.club,club,58,1828,26,50,2,0,0,0,0,0,0,1,12
hourclouds.com,com,57,43804,2675,14.29,7,0,0,1,13,0,146,1,25.92
vips.gold,gold,57,42238,315,22.73,22,0,0,1,24,7,1,1,2.9
hourflow.biz,biz,57,35434,916,16.67,18,2,9,1,15,2,335,1,20.64
bitcraft.biz,biz,57,3256,72,12.5,8,757,0,1,16,1,218,1,2.1
effectadver.best,best,57,1060,53,33.33,3,0,0,0,2,4,0,1,10
100kbtc.com,com,57,86086,5033,56.67,30,12,0,1,19,5,189,1,25.68
bitse.club,club,57,1878,33,100,3,1,0,1,8,0,0,1,1.5
ebicoinvest.com,com,57,140,7,100,6,2,5,1,17,0,0,1,5.04
bitsignum.com,com,57,1988,58,100,8,1,0,1,10,0,0,1,0.7
cobaltcouncil.cc,cc,57,550,30,100,3,749,155,1,10,0,0,1,3
ephexfx.com,com,57,120,6,100,3,40,14,1,5,0,0,0,50
junnex.com,com,57,8772,49,100,3,0,0,0,2,0,0,1,2
crypto5.club,club,57,2417,32,100,5,0,3,1,5,0,0,1,1
cryptohourly.biz,biz,57,219,19,100,1,18,0,1,4,0,0,1,25.2
pmt.group,group,57,336,17,0,1,0,0,0,0,0,0,1,4.75
profit20.net,net,57,41,4,100,1,0,0,0,9,0,0,1,777
avistagroup.biz,biz,57,2015,73,75,4,0,0,0,3,0,0,1,14.4
luxica.biz,biz,56,2235,30,0,7,14,0,1,10,2,885,0,1.6
super-crypto.net,net,56,290,7,23.08,13,146,456,1,8,0,119,0,2.4
innovation-trade.biz,biz,56,2506,54,88.89,9,1,0,1,7,4,0,1,1.5
smart-gain.biz,biz,56,11198,141,75,4,8,3,1,0,1,0,1,1
ligalaize.com,com,56,5888,21,60,5,0,0,0,16,3,0,0,2
bitearn.club,club,56,5189,391,100,12,3,4,1,8,0,0,1,36
jc-group.biz,biz,56,120,3,100,2,748,261,1,6,0,0,1,10
yourhour.biz,biz,56,4501,339,100,15,32,15,1,12,1,0,1,26.4
onehourltd.com,com,56,112,8,100,1,0,0,0,4,0,0,1,21
financial-freedom.cc,cc,56,50,5,100,2,0,0,0,1,0,0,1,0.5
crypto-invest.net,net,56,60,6,100,3,0,0,0,5,0,0,1,1
bitado.net,net,56,845,15,100,1,0,0,0,0,0,0,1,2.88
reykey.io,io,56,23292,324,100,2,0,0,0,4,0,0,1,3
bitmagnet.biz,biz,56,1463,28,100,2,0,0,0,0,0,0,1,3.6
investish.net,net,55,3725,73,25,16,0,0,1,20,7,1,1,4
royalwines.biz,biz,55,35488,560,0,7,764,588,1,21,0,133,1,1.1
fastfininv.com,com,55,264,9,25,4,0,0,0,0,1,70,1,1
btcethlite.com,com,55,1914,25,16.67,6,0,1,0,1,7,0,0,2.6
grantis.club,club,55,22199,190,81.82,11,0,0,1,2,2,0,1,0.55
barrybondcapital.com,com,55,21136,459,71.43,14,729,376,1,7,3,49,1,1
wooxs.co,co,55,20896,236,83.33,6,0,0,0,9,3,0,1,1
bitco6.biz,biz,55,1780,27,100,2,760,0,1,0,1,0,1,6
accnetcoin.com,com,55,70,6,66.67,9,0,0,0,3,0,0,1,20
dobro-father.com,com,55,8666,288,100,1,0,0,0,3,0,0,1,20
matrixtrader.biz,biz,55,6373,110,100,5,0,0,0,3,0,0,1,18
futurecoins.io,io,55,1481,14,100,1,0,0,0,0,0,0,1,3.84
vineyard-wine.com,com,55,5344,309,100,2,760,20,0,4,0,0,1,1.5
carbon7.biz,biz,55,87173,933,100,2,1,0,0,4,0,0,1,7
kingbitcoincorp.com,com,55,8908,67,71.43,7,0,0,1,7,0,0,1,12
aprexfund.com,com,55,26618,427,76.92,13,0,0,0,9,0,0,1,17.8
hourlyage.com,com,54,14290,897,25,4,17,0,1,18,0,75,1,25.2
swdigitalassets.com,com,54,11872,295,76,25,0,0,1,18,3,0,1,2.2
resolute-capital.com,com,54,40,4,53.85,13,7,36,1,7,1,0,1,10
u-profit.online,online,54,13670,827,90.91,11,1,0,1,14,5,0,1,1.28
investstartup.biz,biz,54,4442,60,88.89,9,749,0,1,11,1,0,1,1.5
dmhourly.biz,biz,54,48703,1335,88.24,17,2,1,1,19,0,0,1,4.5
hourinv.com,com,54,5958,406,100,8,156,4,1,8,0,0,1,6.5
cryptexinv.com,com,54,6854,124,80,10,15,1,1,6,0,0,1,13
bitcruiser.pro,pro,54,2402,21,100,1,0,0,0,1,0,0,1,10
automatix.top,top,54,4567,109,100,1,0,0,0,3,0,0,1,2
pharmasys.biz,biz,54,15589,507,85,20,0,0,0,6,0,0,1,2.2
sonic-finance.com,com,54,33153,2011,100,2,0,0,0,3,0,0,1,3
bitxxa.com,com,54,1936,86,77.78,18,0,0,0,13,0,0,1,2.88
dividend-capital.com,com,54,230,10,100,2,0,0,0,0,0,0,0,0.87
mavis.srl,srl,54,19025,183,100,1,0,0,0,0,0,0,0,2.2
