kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets;31_profit;31_bets
poskrebyshev13;0;2;2.12;4;2.12;4;11.74;6;11.74;6;11.74;6;15.93;7;15.93;7;15.93;7;15.93;7;10.15;8;10.15;8;10.15;8;13.68;9;13.68;9;13.68;9;21.33;11;24.5;12;35.11;14;28.37;15;31.9;17;31.9;17;31.9;17;40.52;18;40.52;18;40.52;18;40.52;18;40.52;18;40.52;18;40.52;18;;
Gennadij_16;-4.97;2;-4.97;2;-4.97;2;-4.97;2;-4.97;2;-4.97;2;-4.97;2;-4.97;2;-4.97;2;3.03;3;3.03;3;3.03;3;3.03;3;3.03;3;5.67;4;5.67;4;5.67;4;5.67;4;5.67;4;5.67;4;5.67;4;5.67;4;7.88;7;18.13;8;18.13;8;18.13;8;14.47;9;16.19;10;16.19;11;16.19;11;16.19;11
dl1nk0;10.32;5;20.99;8;34.46;12;31.93;15;26.45;16;27.43;19;32.01;24;20.21;25;20.21;25;14.23;26;19.92;27;13.93;28;8.24;29;12.27;31;6.66;32;6.66;32;6.66;32;6.66;32;6.66;34;-3.7;35;-3.7;35;8.42;38;3.03;39;-1.18;41;-0.19;42;-5.16;43;-5.16;43;-5.16;43;-5.16;43;-5.16;43;-9.88;46
CAPPERMAN;0;1;12.1;3;11.87;5;11.87;5;11.87;5;12.49;7;67.96;17;70.02;25;83.78;27;83.78;27;83.78;27;90.22;28;90.22;28;90.22;28;90.22;28;90.22;28;90.22;28;90.22;28;80.71;29;71.67;31;69.86;32;61.36;33;61.36;33;53.29;34;53.29;34;45.63;35;53.28;36;45.61;37;38.33;38;38.33;38;38.33;38
kartess;0;1;3.29;3;11.99;7;12.3;8;12.3;8;12.3;8;12.3;8;12.3;9;11.83;13;11.83;13;12.7;15;12.7;15;12.7;15;12.7;15;12.7;15;17.29;17;17.29;17;19.64;18;22.38;20;22.38;20;22.38;20;27.08;21;27.08;21;27.08;22;18.75;23;18.75;23;18.75;23;18.75;23;18.75;23;24.76;26;27.14;28
kr3h4rd mail ru;4.77;9;4.77;9;4.77;9;4.77;9;4.77;9;11.93;18;-8.89;22;-0.21;31;-14.38;37;-18.07;38;-6.17;46;-11.4;47;-11.4;47;22.87;57;31.75;67;19.53;77;29.75;86;-2.82;95;0.36;97;70.24;114;61.01;124;64.03;134;35.72;143;17.29;153;34.73;163;33.66;172;7.21;179;12.96;189;12.96;189;54.09;198;38.67;203
GSVG;-0.1;5;-0.99;12;2.76;14;7.07;15;10.36;16;13.77;18;13.77;21;1.58;25;1.58;25;-9.74;29;-9.89;32;-2.19;38;-0.25;43;2.28;48;4.78;54;14.78;60;2.69;64;-24.15;67;-6.98;75;-7.64;80;3.51;86;7.23;94;23.45;101;21.49;109;18.01;111;17.31;112;18.17;117;21.14;120;29.29;121;32.66;122;29.12;124
Spectre;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;-4.98;2;1.84;10;17.67;21;48.91;31;45.61;40;21.09;49;3.13;57;16.24;66;30;75;42.85;82;35.73;85
Mrs. Parker;0;1;5.94;3;5.94;3;12.19;4;12.19;5;12.19;5;15.16;7;15.16;7;15.16;7;14.19;9;14.19;9;21.14;10;21.14;10;21.14;10;21.14;10;21.14;10;21.14;10;21.14;11;21.14;11;21.14;12;29.37;13;29.37;13;29.37;13;29.37;13;38.4;14;38.4;14;31.48;15;31.48;15;31.48;16;31.48;16;;
garri fisher;0;2;0;2;0;2;0.53;6;8.82;8;8.82;8;8.82;8;0.83;10;0.83;10;0.83;10;0.83;10;0.83;10;8.9;11;8.9;11;8.9;11;8.9;11;8.9;11;11.73;12;14.62;13;14.62;13;14.62;13;14.62;13;14.62;13;14.62;13;18.36;15;18.36;15;18.36;15;18.36;15;18.36;15;18.36;15;;
