url,zone,days,total invested,deposits number,TopListPrc,monitors number,design,text,licence,forums,reviews,listings,firstLap,plans
50cent.capital,capital,112,9363,117,70,10,1,1,1,11,7,0,1,24
btcengineer.biz,biz,112,7481,94,40,5,753,410,1,9,0,64,0,2.1
77hour.biz,biz,112,4554,299,100,6,0,0,0,11,0,0,1,60
1hashmining.com,com,112,2216,25,100,3,0,0,0,4,0,0,0,1
themidas.me,me,112,90,3,100,2,0,0,0,5,0,0,1,3
wealth-storage.org,org,112,2,1,50,2,0,0,0,11,1,0,0,1
delovoy.org,org,112,-1,-1,100,1,0,0,1,0,1,0,-1,5
happydeposit.com,com,112,-1,-1,100,2,0,0,1,6,0,0,1,500
agora-inv.com,com,112,-1,-1,50,2,1,0,0,0,0,0,1,1
stepworth.biz,biz,111,70094,1650,87.5,32,0,0,1,19,1,0,1,3
dailybitpro.com,com,111,1270,5,60,5,3,0,0,13,0,0,-1,7.14
donattrade.com,com,111,479,33,100,3,0,0,0,4,0,0,1,5
xbtc-wallet.pro,pro,111,114,4,50,2,1,0,0,1,0,0,1,24
bitcointurn.club,club,111,-1,-1,-1,-1,3,0,0,2,0,-1,-1,-1
cyrix.org,org,111,-1,-1,-1,-1,0,0,0,3,0,-1,1,1.4
btcdaily.io,io,111,-1,-1,-1,-1,28,3,1,0,0,-1,1,20
activex.ac,ac,110,298548,2667,42.11,19,0,0,1,19,2,684,1,1.5
bithour.net,net,110,236284,8889,6.82,44,10,2,1,25,7,945,1,25.92
nanotezer.com,com,110,48843,497,32.43,37,3,0,1,22,12,1,1,4
isemiss.com,com,110,32998,1305,71.43,7,0,0,0,5,0,0,1,1
e-shares.biz,biz,110,4690,38,57.14,7,751,520,1,5,0,0,1,2.1
24paying.com,com,110,1738,171,-1,-1,0,0,0,3,0,-1,1,16
cometalp.com,com,110,1376,47,16.67,18,0,0,1,16,3,525,1,18.5
tradershome.tech,tech,110,181,4,14.29,7,3,1,0,5,0,313,0,1
tts-corp.nl,nl,110,-1,-1,0,1,0,1,1,0,0,0,-1,1
btcmagenta.cc,cc,110,-1,-1,100,2,134,19,1,1,0,0,1,20
coinmining.me,me,110,-1,-1,-1,-1,0,0,1,0,0,-1,-1,-1
lucky-rent.ru,ru,110,-1,-1,100,1,0,0,0,0,0,0,0,0.9
ak47.capital,capital,109,116236,944,82.93,41,0,0,0,20,10,0,-1,2.86
tetnaz.com,com,109,77946,824,70.59,17,753,0,1,8,2,0,-1,0.43
10dollars.me,me,109,43013,1609,11.11,18,762,575,1,21,2,771,1,11
crypto-trader.cc,cc,109,33977,631,96,25,2,4,1,16,6,0,1,1
finguru.capital,capital,109,27443,821,82.35,17,0,0,0,9,6,0,1,2.2
hourlynew.com,com,109,7993,563,100,7,44,0,1,9,0,0,1,4.5
suzukicoin.net,net,109,6849,85,88.57,35,0,0,1,12,1,0,-1,2
pipbrokers.com,com,109,4442,32,20,10,0,0,0,10,3,1,-1,0.79
cointonix.com,com,109,3887,18,50,12,0,0,0,1,17,0,0,0.7
depositoken.com,com,109,-1,-1,0,1,0,0,0,0,0,0,-1,-1
avminvestment.com,com,109,-1,-1,0,1,0,0,0,0,0,0,1,0.23
viible.com,com,109,-1,-1,100,2,0,0,0,0,0,0,-1,1
crypto-btc.com,com,109,-1,-1,100,1,0,0,0,0,0,0,-1,-1
bitcompany.cc,cc,109,-1,-1,100,2,0,0,0,0,0,0,1,660
springbtc.biz,biz,108,44977,623,93.33,15,12,9,1,3,0,0,-1,6.43
satoshitreasure.net,net,108,40262,574,85.71,14,1,0,1,5,5,0,1,13
crypto-bulls.com,com,108,3746,12,100,5,0,1,0,4,4,0,1,1
bitzz.io,io,108,2907,75,100,7,0,0,0,3,0,0,1,4.8
pearson-invest.com,com,108,1445,46,100,1,0,0,0,0,0,0,1,0.8
