url,zone,days,total invested,deposits number,TopListPrc,monitors number,design,text,licence,forums,reviews,listings,firstLap,plans
bithub.network,network,55,179,2,0,1,757,0,1,8,0,50,1,0.43
shuttle.rent,rent,54,10,1,0,2,0,0,0,0,0,20,1,5
cooldino.io,io,54,880,12,0,2,757,447,1,9,0,69,1,1
blurbis.com,com,53,-1,-1,0,1,0,0,0,0,1,0,-1,0.5
altcoins-invest.biz,biz,52,360,15,12.5,8,0,0,1,7,5,204,0,2
vixes.biz,biz,51,14705,178,10.71,28,0,0,0,30,16,2,-1,1
neuron.capital,capital,50,7893,72,0,3,0,0,0,0,3,0,1,3.65
ois.capital,capital,50,10001,48,0,3,4,4,0,3,0,99,0,1.6
bitles.eu,eu,50,4517,24,27.27,11,0,0,0,2,5,1,0,0.3
mido-finance.com,com,50,-1,-1,0,6,757,501,1,15,0,69,0,0.29
miners.gold,gold,49,3850,409,15.38,13,15,7,1,16,2,348,1,20.88
5bet.club,club,48,-1,-1,0,1,0,0,0,20,1,0,-1,0.71
wbankwallet.com,com,48,-1,-1,0,1,4,10,1,0,1,0,0,0.2
madana.club,club,46,127,5,11.11,9,1,0,0,20,2,95,-1,0.6
profits-mania.com,com,45,-1,-1,0,1,2,0,1,0,0,0,1,3.5
methash.com,com,45,-1,-1,0,3,1,0,1,0,0,22,-1,3
fifa.me,me,45,8783,267,33.33,3,14,0,1,4,1,54,1,1
coin-bit.biz,biz,43,1865,41,0,7,736,499,1,8,0,55,0,2.1
hourceo.com,com,42,57710,4249,6.67,30,0,0,1,27,4,512,1,16.6
